trip_id,customer_id,gender,age,city,route_id,route_name,origin_stop,destination_stop,bus_type,trip_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,distance_km,fare_inr,discount_inr,payment_mode,booking_channel,trip_status,cancellation_reason,rating,occupancy_pct,weather,is_peak_hour,subscription_type,gps_enabled,complaint_raised,trip_year,trip_month,trip_weekday,delay_minutes,is_delayed,net_revenue_inr,age_group
TRP000430,CUST00308,Female,23.0,Bangalore,RTBA030,Indiranagar - Yelahanka,Indiranagar,Yelahanka,Non-AC Seater,2024-09-27,18:50,18:50,19:10,19:10,10.1,112.0,0.0,Cash,Corporate Portal,Completed,,,87.3,Fog,True,Corporate Plan,True,False,2024,9,Friday,0.0,False,112.0,18-25
TRP000758,CUST00122,Female,32.0,Mumbai,RTMU007,Thane West - Borivali,Thane West,Borivali,AC Sleeper,2024-02-17,22:30,22:30,23:16,23:16,22.1,283.0,47.0,Wallet,Corporate Portal,Completed,,5.0,45.4,Haze,False,Weekly Pass,True,False,2024,2,Saturday,0.0,False,236.0,26-35
TRP002978,CUST01087,Female,18.0,Hyderabad,RTHY039,Uppal - Kondapur,Uppal,Kondapur,AC Sleeper,2024-01-23,08:40,08:40,09:33,09:33,25.9,336.0,54.0,Wallet,Kiosk,Completed,,,94.6,Clear,True,Single Ride,True,False,2024,1,Tuesday,0.0,False,282.0,18-25
TRP000770,CUST01239,Male,18.0,Chennai,RTCH043,Guindy - Anna Nagar,Guindy,Anna Nagar,AC Seater,2024-04-13,15:05,,16:29,,33.6,,0.0,,Corporate Portal,Cancelled,Driver Unavailable,,,Rain,False,Monthly Pass,True,False,2024,4,Saturday,,False,,18-25
TRP003035,CUST00359,Male,42.0,Hyderabad,RTHY031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,AC Sleeper,2024-07-02,08:35,08:35,10:28,10:28,38.9,430.0,0.0,Credit Card,Kiosk,Completed,,5.0,95.4,Rain,True,Single Ride,True,False,2024,7,Tuesday,0.0,False,430.0,36-45
TRP002660,CUST00561,Female,24.0,Mumbai,RTMU007,Thane West - Borivali,Thane West,Borivali,AC Sleeper,2024-02-09,08:10,08:14,09:15,09:19,22.1,379.0,0.0,Wallet,Kiosk,Completed,,4.0,72.3,Haze,True,Corporate Plan,True,False,2024,2,Friday,4.0,False,379.0,18-25
TRP000369,CUST00089,Female,29.0,Mumbai,RTMU009,Thane West - Vashi,Thane West,Vashi,AC Seater,2024-07-20,21:20,,22:36,,34.8,,0.0,,Corporate Portal,Cancelled,Payment Failed,,,Rain,False,Single Ride,True,False,2024,7,Saturday,,False,,26-35
TRP002804,CUST00200,Male,46.0,Pune,RTPU020,Aundh - Kharadi,Aundh,Kharadi,Premium AC,2024-04-12,11:20,11:21,12:23,12:24,32.8,373.0,43.0,UPI,Website,Completed,,5.0,97.8,Heavy Rain,False,Monthly Pass,True,False,2024,4,Friday,1.0,False,330.0,46-60
TRP000931,CUST00891,Female,18.0,Hyderabad,RTHY039,Uppal - Kondapur,Uppal,Kondapur,AC Seater,2024-07-01,09:05,09:09,10:02,10:06,25.9,355.0,0.0,Debit Card,Website,Completed,,3.0,20.1,Rain,False,Corporate Plan,True,False,2024,7,Monday,4.0,False,355.0,18-25
TRP000464,CUST01137,Other,51.0,Chennai,RTCH050,Tambaram - Adyar,Tambaram,Adyar,Premium AC,2024-03-14,18:15,19:07,18:38,19:30,8.4,159.0,0.0,Cash,Corporate Portal,Delayed-Completed,,2.0,40.8,Fog,True,Weekly Pass,True,False,2024,3,Thursday,52.0,True,159.0,46-60
TRP000550,CUST01375,Female,33.0,Mumbai,RTMU003,Andheri East - Powai,Andheri East,Powai,Premium AC,2024-01-07,07:20,07:20,08:15,08:15,22.8,336.0,0.0,Cash,Corporate Portal,Completed,,3.0,79.0,Fog,False,Monthly Pass,True,False,2024,1,Sunday,0.0,False,336.0,26-35
TRP000565,CUST01134,Male,35.0,Hyderabad,RTHY031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,Non-AC Seater,2024-01-25,22:20,22:31,23:56,00:07,38.9,766.5,0.0,UPI,Kiosk,Completed,,1.0,82.5,Rain,False,Single Ride,True,False,2024,1,Thursday,11.0,True,766.5,26-35
TRP001665,CUST00020,Male,24.0,Pune,RTPU013,Hadapsar - Kothrud,Hadapsar,Kothrud,AC Sleeper,2024-07-05,09:45,09:56,10:11,10:22,9.1,145.0,0.0,Debit Card,Website,Completed,,,76.6,Fog,True,Monthly Pass,True,False,2024,7,Friday,11.0,True,145.0,18-25
TRP000128,CUST01232,Female,19.0,Hyderabad,RTHY032,Kukatpally - Miyapur,Kukatpally,Miyapur,Premium AC,2024-10-03,09:20,09:20,10:44,10:44,33.1,510.0,114.0,Credit Card,Kiosk,Completed,,5.0,87.5,Fog,True,Single Ride,False,False,2024,10,Thursday,0.0,False,396.0,18-25
TRP000766,CUST01287,Female,28.0,Mumbai,RTMU005,Lower Parel - Mulund,Lower Parel,Mulund,AC Sleeper,2024-11-16,14:55,,15:20,,10.9,,0.0,,Kiosk,Cancelled,Traffic/Weather,,,Heavy Rain,False,Weekly Pass,True,False,2024,11,Saturday,,False,,26-35
TRP002095,CUST01086,Female,20.0,Delhi NCR,RTDE060,Greater Noida - Connaught Place,Greater Noida,Connaught Place,AC Seater,2024-03-04,13:05,13:05,14:32,14:32,31.3,291.0,52.0,UPI,Website,Completed,,,49.1,Rain,False,Single Ride,True,False,2024,3,Monday,0.0,False,239.0,18-25
TRP001142,CUST00282,Male,33.0,Bangalore,RTBA023,Whitefield - Yelahanka,Whitefield,Yelahanka,AC Sleeper,2024-01-14,14:25,,15:31,,35.1,,0.0,,Kiosk,Cancelled,Payment Failed,,,Haze,False,Corporate Plan,True,False,2024,1,Sunday,,False,,26-35
TRP000804,CUST00243,Male,25.0,Bangalore,RTBA024,Hebbal - Electronic City,Hebbal,Electronic City,AC Seater,2024-07-03,10:25,10:25,11:01,11:01,17.8,161.0,22.0,Debit Card,Website,Completed,,3.0,38.6,Haze,True,Corporate Plan,True,False,2024,7,Wednesday,0.0,False,139.0,18-25
TRP001477,CUST01168,Male,35.0,Delhi NCR,RTDE058,Faridabad - Saket,Faridabad,Saket,AC Sleeper,2024-05-12,11:35,11:54,12:16,12:35,22.0,366.0,0.0,UPI,Website,Delayed-Completed,,2.0,58.5,Fog,False,Weekly Pass,True,False,2024,5,Sunday,19.0,True,366.0,26-35
TRP001119,CUST00362,Female,34.0,Mumbai,RTMU007,Thane West - Borivali,Thane West,Borivali,AC Seater,2024-10-29,13:55,13:55,14:46,14:46,22.1,274.0,0.0,UPI,Corporate Portal,Completed,,5.0,17.1,Rain,False,Monthly Pass,True,False,2024,10,Tuesday,0.0,False,274.0,26-35
TRP002543,CUST00948,Male,27.0,Pune,RTPU013,Hadapsar - Kothrud,Hadapsar,Kothrud,Non-AC Seater,2024-12-22,09:40,09:40,09:57,09:57,9.1,87.0,0.0,UPI,Website,Completed,,3.0,93.3,Clear,False,Corporate Plan,True,False,2024,12,Sunday,0.0,False,87.0,26-35
TRP003103,CUST00809,Male,30.0,Mumbai,RTMU008,Thane West - Mulund,Thane West,Mulund,AC Seater,2024-03-20,19:50,19:51,20:35,20:36,23.5,318.0,0.0,Cash,Website,Completed,,5.0,82.6,Fog,False,Weekly Pass,True,False,2024,3,Wednesday,1.0,False,318.0,26-35
TRP002234,CUST00452,Other,30.0,Bangalore,RTBA022,HSR Layout - Bannerghatta Road,HSR Layout,Bannerghatta Road,AC Sleeper,2024-07-20,22:30,22:30,00:42,,40.7,502.0,0.0,Cash,Corporate Portal,No-show,Payment Failed,,59.5,Heavy Rain,False,Single Ride,False,False,2024,7,Saturday,0.0,False,502.0,26-35
TRP002725,CUST00720,Female,23.0,Hyderabad,RTHY036,Kondapur - Kukatpally,Kondapur,Kukatpally,Premium AC,2024-11-21,17:45,17:40,19:07,19:02,34.6,567.0,124.0,Net Banking,Corporate Portal,Completed,,3.0,18.0,Cloudy,True,Corporate Plan,True,False,2024,11,Thursday,-5.0,False,443.0,18-25
TRP000491,CUST00613,Female,36.0,Bangalore,RTBA027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Non-AC Seater,2024-10-27,07:10,07:10,08:37,08:37,33.5,439.0,0.0,Debit Card,Website,Completed,,4.0,67.2,Heavy Rain,False,Single Ride,True,False,2024,10,Sunday,0.0,False,439.0,36-45
TRP001493,CUST00939,Female,32.0,Mumbai,RTMU009,Thane West - Vashi,Thane West,Vashi,AC Sleeper,2024-11-14,22:40,22:40,23:46,23:46,34.8,571.0,124.0,Net Banking,Corporate Portal,Completed,,5.0,78.8,Rain,False,Monthly Pass,True,True,2024,11,Thursday,0.0,False,447.0,26-35
TRP001488,CUST00449,Male,18.0,Bangalore,RTBA024,Hebbal - Electronic City,Hebbal,Electronic City,Non-AC Seater,2024-06-16,11:35,11:40,12:25,12:30,17.8,186.0,0.0,Cash,Corporate Portal,Completed,,3.0,49.7,Clear,False,Weekly Pass,True,False,2024,6,Sunday,5.0,False,186.0,18-25
TRP002539,CUST00207,Male,29.0,Bangalore,RTBA023,Whitefield - Yelahanka,Whitefield,Yelahanka,Premium AC,2024-02-08,17:10,17:10,18:32,,35.1,541.0,0.0,Cash,Kiosk,No-show,Payment Failed,,70.4,Fog,False,Monthly Pass,True,False,2024,2,Thursday,0.0,False,541.0,26-35
TRP002552,CUST01114,Male,27.0,Mumbai,RTMU005,Lower Parel - Mulund,Lower Parel,Mulund,AC Seater,2024-03-08,06:10,06:19,06:41,06:50,10.9,149.0,0.0,Debit Card,Website,Completed,,5.0,82.5,Clear,False,Monthly Pass,True,False,2024,3,Friday,9.0,True,149.0,26-35
TRP000694,CUST01088,Female,24.0,Delhi NCR,RTDE060,Greater Noida - Connaught Place,Greater Noida,Connaught Place,AC Seater,2024-03-16,13:05,13:20,14:34,14:49,31.3,357.0,0.0,Debit Card,Website,Delayed-Completed,,4.0,96.6,Haze,False,Weekly Pass,True,False,2024,3,Saturday,15.0,True,357.0,18-25
TRP000983,CUST00501,Male,20.0,Chennai,RTCH046,OMR - T Nagar,OMR,T Nagar,Non-AC Seater,2024-07-30,19:40,19:40,20:50,20:50,32.0,289.0,0.0,Net Banking,Mobile App,Completed,,3.0,81.3,Heavy Rain,True,Weekly Pass,True,False,2024,7,Tuesday,0.0,False,289.0,18-25
TRP000233,CUST00407,Female,18.0,Mumbai,RTMU002,Andheri East - Thane West,Andheri East,Thane West,AC Sleeper,2024-01-09,18:35,18:40,19:23,19:28,24.5,334.0,0.0,Wallet,Corporate Portal,Completed,,,34.3,Cloudy,True,Corporate Plan,False,False,2024,1,Tuesday,5.0,False,334.0,18-25
TRP000050,CUST00094,Female,22.0,Hyderabad,RTHY038,HITEC City - Kondapur,HITEC City,Kondapur,Non-AC Seater,2024-03-23,08:20,08:32,09:03,09:15,14.1,181.0,0.0,UPI,Corporate Portal,Completed,,1.0,32.9,Clear,False,Weekly Pass,True,False,2024,3,Saturday,12.0,True,181.0,18-25
TRP002851,CUST00524,Female,33.0,Bangalore,RTBA027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Non-AC Seater,2024-01-01,09:50,10:10,10:57,11:17,33.5,420.0,94.0,Wallet,Kiosk,Delayed-Completed,,,63.0,Heavy Rain,True,Weekly Pass,True,False,2024,1,Monday,20.0,True,326.0,26-35
TRP002417,CUST01066,Male,38.0,Mumbai,RTMU007,Thane West - Borivali,Thane West,Borivali,AC Seater,2024-06-04,17:15,17:19,18:04,18:08,22.1,263.0,0.0,Credit Card,Website,Completed,,4.0,52.4,Cloudy,False,Weekly Pass,True,False,2024,6,Tuesday,4.0,False,263.0,36-45
TRP000955,CUST00336,Male,25.0,Mumbai,RTMU007,Thane West - Borivali,Thane West,Borivali,AC Sleeper,2024-08-12,13:40,14:23,14:35,15:18,22.1,310.0,0.0,UPI,Website,Delayed-Completed,,5.0,26.5,Cloudy,False,Monthly Pass,True,False,2024,8,Monday,43.0,True,310.0,18-25
TRP001732,CUST01039,Female,34.0,Mumbai,RTMU002,Andheri East - Thane West,Andheri East,Thane West,Non-AC Seater,2024-08-21,07:00,07:00,07:52,,24.5,259.0,62.0,UPI,Kiosk,No-show,Payment Failed,,28.1,Haze,False,Monthly Pass,True,False,2024,8,Wednesday,0.0,False,197.0,26-35
TRP002653,CUST00478,Female,25.0,Hyderabad,RTHY038,HITEC City - Kondapur,HITEC City,Kondapur,Non-AC Seater,2024-01-05,14:20,14:20,14:50,14:50,14.1,126.0,0.0,Credit Card,Corporate Portal,Completed,,5.0,29.2,Cloudy,False,Weekly Pass,False,False,2024,1,Friday,0.0,False,126.0,18-25
TRP002838,CUST01098,Female,28.0,Bangalore,RTBA027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Non-AC Seater,2024-11-23,19:45,19:42,20:49,20:46,33.5,365.0,37.0,Wallet,Mobile App,Completed,,,69.6,Heavy Rain,False,Monthly Pass,True,False,2024,11,Saturday,-3.0,False,328.0,26-35
TRP001637,CUST00889,Female,36.0,Delhi NCR,RTDE058,Faridabad - Saket,Faridabad,Saket,Non-AC Seater,2024-01-30,06:55,07:04,07:38,07:47,22.0,185.0,0.0,Credit Card,Mobile App,Completed,,2.0,61.1,Rain,False,Corporate Plan,True,False,2024,1,Tuesday,9.0,True,185.0,36-45
TRP001760,CUST01357,Female,31.0,Bangalore,RTBA024,Hebbal - Electronic City,Hebbal,Electronic City,AC Sleeper,2024-07-24,13:10,13:10,14:01,14:01,17.8,301.0,0.0,Net Banking,Kiosk,Completed,,4.0,66.7,Fog,False,Single Ride,True,False,2024,7,Wednesday,0.0,False,301.0,26-35
TRP002405,CUST00975,Female,20.0,Bangalore,RTBA027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Premium AC,2024-09-01,16:20,16:20,17:44,17:44,33.5,596.0,0.0,UPI,Corporate Portal,Completed,,4.0,32.5,Heavy Rain,False,Single Ride,True,False,2024,9,Sunday,0.0,False,596.0,18-25
TRP001915,CUST01058,Female,19.0,Hyderabad,RTHY037,Kukatpally - Uppal,Kukatpally,Uppal,AC Seater,2024-08-06,06:00,06:21,06:30,06:51,16.0,153.0,0.0,UPI,Mobile App,Delayed-Completed,,4.0,49.0,Clear,False,Monthly Pass,True,True,2024,8,Tuesday,21.0,True,153.0,18-25
TRP001886,CUST00596,Female,25.0,Pune,RTPU019,Kothrud - Magarpatta,Kothrud,Magarpatta,Premium AC,2024-10-18,19:05,19:08,19:28,19:31,10.7,128.0,0.0,Net Banking,Mobile App,Completed,,5.0,86.8,Cloudy,False,Single Ride,True,False,2024,10,Friday,3.0,False,128.0,18-25
TRP002656,CUST00381,Male,18.0,Pune,RTPU018,Kharadi - Magarpatta,Kharadi,Magarpatta,Premium AC,2024-04-08,17:45,17:53,19:53,20:01,40.7,500.0,0.0,Credit Card,Corporate Portal,Completed,,4.0,21.1,Clear,False,Single Ride,True,False,2024,4,Monday,8.0,True,500.0,18-25
TRP002309,CUST01092,Male,39.0,Mumbai,RTMU007,Thane West - Borivali,Thane West,Borivali,AC Seater,2024-02-13,14:00,14:05,14:54,14:59,22.1,177.0,0.0,Wallet,Mobile App,Completed,,2.0,32.4,Clear,False,Corporate Plan,True,False,2024,2,Tuesday,5.0,False,177.0,36-45
TRP001015,CUST01151,Male,41.0,Delhi NCR,RTDE058,Faridabad - Saket,Faridabad,Saket,Premium AC,2024-07-19,18:00,18:00,18:42,18:42,22.0,293.0,0.0,Cash,Kiosk,Completed,,3.0,50.8,Rain,True,Corporate Plan,True,False,2024,7,Friday,0.0,False,293.0,36-45
TRP003193,CUST01010,Female,23.0,Chennai,RTCH048,Guindy - Adyar,Guindy,Adyar,Non-AC Seater,2024-03-20,11:35,11:35,12:16,12:16,12.9,144.0,0.0,Net Banking,Corporate Portal,Completed,,3.0,38.5,Rain,False,Corporate Plan,True,False,2024,3,Wednesday,0.0,False,144.0,18-25
TRP002490,CUST01077,Female,20.0,Chennai,RTCH043,Guindy - Anna Nagar,Guindy,Anna Nagar,Premium AC,2024-06-07,21:50,21:52,23:02,23:04,33.6,580.0,114.0,UPI,Corporate Portal,Completed,,,30.5,Clear,False,Corporate Plan,True,False,2024,6,Friday,2.0,False,466.0,18-25
TRP000102,CUST01019,Male,39.0,Mumbai,RTMU010,Ghatkopar - Lower Parel,Ghatkopar,Lower Parel,AC Seater,2024-02-19,10:20,10:22,11:26,11:28,28.6,291.0,71.0,Wallet,Corporate Portal,Completed,,5.0,28.7,Cloudy,False,Monthly Pass,True,False,2024,2,Monday,2.0,False,220.0,36-45
TRP002414,CUST00399,Female,40.0,Pune,RTPU020,Aundh - Kharadi,Aundh,Kharadi,AC Seater,2024-11-23,11:00,11:02,12:16,12:18,32.8,299.0,0.0,Credit Card,Kiosk,Completed,,5.0,49.1,Cloudy,False,Weekly Pass,True,False,2024,11,Saturday,2.0,False,299.0,36-45
TRP001995,CUST01172,Female,21.0,Pune,RTPU013,Hadapsar - Kothrud,Hadapsar,Kothrud,AC Sleeper,2024-08-16,19:45,19:45,20:05,20:05,9.1,96.0,19.0,Debit Card,Mobile App,Completed,,5.0,83.0,Rain,True,Monthly Pass,True,False,2024,8,Friday,0.0,False,77.0,18-25
TRP001305,CUST00266,Male,29.0,Pune,RTPU018,Kharadi - Magarpatta,Kharadi,Magarpatta,AC Seater,2024-08-13,10:05,10:17,11:23,11:35,40.7,550.0,0.0,Cash,Corporate Portal,Completed,,4.0,77.9,Heavy Rain,True,Weekly Pass,True,False,2024,8,Tuesday,12.0,True,550.0,26-35
TRP000537,CUST00368,Male,33.0,Delhi NCR,RTDE054,Faridabad - Noida Sector 62,Faridabad,Noida Sector 62,AC Seater,2024-02-24,11:55,12:07,12:49,13:01,18.7,242.0,0.0,Cash,Kiosk,Completed,,4.0,37.2,Heavy Rain,False,Monthly Pass,True,False,2024,2,Saturday,12.0,True,242.0,26-35
TRP002715,CUST00099,Female,18.0,Pune,RTPU019,Kothrud - Magarpatta,Kothrud,Magarpatta,AC Seater,2024-03-17,06:25,06:25,06:45,06:45,10.7,133.0,11.0,Credit Card,Website,Completed,,2.0,15.9,Haze,False,Monthly Pass,True,False,2024,3,Sunday,0.0,False,122.0,18-25
TRP000538,CUST01152,Female,33.0,Chennai,RTCH041,Adyar - Guindy,Adyar,Guindy,Non-AC Seater,2024-11-08,11:55,11:55,12:50,,18.2,181.0,0.0,UPI,Corporate Portal,No-show,Customer Request,,86.9,Cloudy,False,Weekly Pass,True,False,2024,11,Friday,0.0,False,181.0,26-35
TRP002961,CUST01232,Female,19.0,Delhi NCR,RTDE055,Vasant Kunj - Connaught Place,Vasant Kunj,Connaught Place,AC Seater,2024-03-25,13:40,13:50,13:58,14:08,8.4,89.0,0.0,Debit Card,Kiosk,Completed,,5.0,57.2,Rain,False,Corporate Plan,True,False,2024,3,Monday,10.0,True,89.0,18-25
TRP001260,CUST01137,Other,51.0,Pune,RTPU013,Hadapsar - Kothrud,Hadapsar,Kothrud,Non-AC Seater,2024-12-13,18:30,18:30,18:56,18:56,9.1,89.0,10.0,Cash,Kiosk,Completed,,3.0,21.0,Fog,True,Monthly Pass,True,False,2024,12,Friday,0.0,False,79.0,46-60
TRP002863,CUST00965,Female,30.0,Pune,RTPU012,Aundh - Magarpatta,Aundh,Magarpatta,Premium AC,2024-06-25,10:50,10:50,11:45,,27.6,409.0,68.0,UPI,Mobile App,No-show,Payment Failed,,26.0,Heavy Rain,False,Weekly Pass,True,False,2024,6,Tuesday,0.0,False,341.0,26-35
TRP001207,CUST00640,Female,29.0,Hyderabad,RTHY034,Gachibowli - HITEC City,Gachibowli,HITEC City,AC Sleeper,2024-07-16,22:15,22:15,23:07,23:07,20.6,237.0,37.0,Credit Card,Corporate Portal,Completed,,3.0,71.0,Rain,False,Single Ride,True,False,2024,7,Tuesday,0.0,False,200.0,26-35
TRP000081,CUST01215,Female,30.0,Pune,RTPU018,Kharadi - Magarpatta,Kharadi,Magarpatta,Premium AC,2024-04-02,20:20,20:22,21:53,21:55,40.7,639.0,0.0,UPI,Corporate Portal,Completed,,5.0,16.7,Clear,True,Weekly Pass,True,False,2024,4,Tuesday,2.0,False,639.0,26-35
TRP002276,CUST00755,Male,35.0,Bangalore,RTBA030,Indiranagar - Yelahanka,Indiranagar,Yelahanka,Premium AC,2024-09-28,19:50,19:50,20:12,20:12,10.1,189.0,0.0,UPI,Corporate Portal,Completed,,4.0,32.8,Fog,False,Single Ride,False,False,2024,9,Saturday,0.0,False,189.0,26-35
TRP000716,CUST00916,Female,19.0,Bangalore,RTBA029,Yelahanka - HSR Layout,Yelahanka,HSR Layout,Premium AC,2024-08-19,21:20,21:20,22:30,22:30,27.2,439.0,0.0,Net Banking,Corporate Portal,Completed,,5.0,27.6,Cloudy,False,Single Ride,True,False,2024,8,Monday,0.0,False,439.0,18-25
TRP001910,CUST00621,Female,28.0,Chennai,RTCH049,Velachery - Tambaram,Velachery,Tambaram,AC Sleeper,2024-12-23,14:55,,16:14,,37.6,,31.0,,Mobile App,Cancelled,Payment Failed,,,Haze,False,Corporate Plan,True,False,2024,12,Monday,,False,,26-35
TRP001654,CUST00397,Other,18.0,Bangalore,RTBA029,Yelahanka - HSR Layout,Yelahanka,HSR Layout,Non-AC Seater,2024-05-25,12:05,12:05,13:12,13:12,27.2,306.0,0.0,Debit Card,Corporate Portal,Completed,,4.0,52.5,Clear,False,Single Ride,False,False,2024,5,Saturday,0.0,False,306.0,18-25
TRP001302,CUST00239,Male,31.0,Mumbai,RTMU009,Thane West - Vashi,Thane West,Vashi,AC Seater,2024-02-17,21:55,21:55,23:04,23:04,34.8,333.0,0.0,Net Banking,Kiosk,Completed,,5.0,17.6,Haze,False,Weekly Pass,True,False,2024,2,Saturday,0.0,False,333.0,26-35
TRP001907,CUST00759,Other,30.0,Pune,RTPU011,Shivajinagar - Hinjewadi Phase 1,Shivajinagar,Hinjewadi Phase 1,AC Seater,2024-09-19,10:45,10:45,12:05,12:05,39.5,468.0,0.0,Debit Card,Kiosk,Completed,,1.0,23.4,Cloudy,False,Monthly Pass,True,False,2024,9,Thursday,0.0,False,468.0,26-35
TRP002474,CUST00983,Male,21.0,Delhi NCR,RTDE056,Gurgaon Cyber City - Noida Sector 62,Gurgaon Cyber City,Noida Sector 62,AC Sleeper,2024-09-30,18:25,18:25,18:45,18:45,8.3,135.0,0.0,Net Banking,Mobile App,Completed,,5.0,85.5,Rain,False,Monthly Pass,False,False,2024,9,Monday,0.0,False,135.0,18-25
TRP002517,CUST00466,Male,39.0,Chennai,RTCH047,Sholinganallur - Tambaram,Sholinganallur,Tambaram,AC Seater,2024-08-06,18:50,18:52,19:47,19:49,24.1,219.0,0.0,Wallet,Website,Completed,,5.0,28.8,Clear,True,Weekly Pass,True,False,2024,8,Tuesday,2.0,False,219.0,36-45
TRP000972,CUST00933,Female,37.0,Pune,RTPU017,Kharadi - Baner,Kharadi,Baner,Premium AC,2024-06-27,22:55,,00:05,,27.7,,0.0,,Kiosk,Cancelled,Bus Breakdown,,,Rain,False,Corporate Plan,True,False,2024,6,Thursday,,False,,36-45
TRP002883,CUST00478,Female,25.0,Delhi NCR,RTDE054,Faridabad - Noida Sector 62,Faridabad,Noida Sector 62,Non-AC Seater,2024-04-22,08:50,08:50,09:46,09:46,18.7,150.0,12.0,Net Banking,Corporate Portal,Completed,,5.0,24.8,Rain,False,Single Ride,True,False,2024,4,Monday,0.0,False,138.0,18-25
TRP003177,CUST01286,Female,32.0,Delhi NCR,RTDE055,Vasant Kunj - Connaught Place,Vasant Kunj,Connaught Place,Premium AC,2024-06-10,10:00,09:58,10:25,10:23,8.4,137.0,0.0,Debit Card,Mobile App,Completed,,3.0,43.8,Heavy Rain,False,Weekly Pass,True,False,2024,6,Monday,-2.0,False,137.0,26-35
